order_id,order_item_id,seller_id,product_id,product_category,order_amount,discount_amount,net_paid_amount,order_status,payment_type,fulfillment_type,order_date,delivery_date
ORD1001,IT1001,S-101,P501,Electronics,2499,300,2199,Completed,Card,Marketplace,2026-03-10,2026-03-13
ORD1002,IT1002,S-205,P880,Home,1599,100,1499,Completed,UPI,Warehouse,2026-03-11,2026-03-14
ORD1003,IT1003,S-101,P502,Electronics,1999,200,1799,Completed,Card,Marketplace,2026-03-12,2026-03-15
ORD1004,IT1004,S-202,P777,Fashion,999,100,899,Completed,COD,Seller,2026-03-13,2026-03-16
ORD1005,IT1005,S-303,P333,Toys,799,50,749,Completed,UPI,Marketplace,2026-03-14,2026-03-17
ORD1006,IT1006,S-101,P504,Electronics,2999,500,2499,Completed,Card,Warehouse,2026-03-15,2026-03-18
ORD1007,IT1007,S-205,P881,Home,1799,200,1599,Completed,COD,Marketplace,2026-03-16,2026-03-19
ORD1008,IT1008,S-404,P222,Books,499,50,449,Completed,UPI,Seller,2026-03-17,2026-03-20
ORD1009,IT1009,S-505,P999,Beauty,1299,150,1149,Completed,Card,Marketplace,2026-03-18,2026-03-21
ORD1010,IT1010,S-101,P505,Electronics,2599,300,2299,Completed,Card,Warehouse,2026-03-19,2026-03-22
ORD1011,IT1011,S-202,P778,Fashion,1099,100,999,Completed,COD,Seller,2026-03-20,2026-03-23
ORD1012,IT1012,S-303,P334,Toys,899,100,799,Completed,UPI,Marketplace,2026-03-21,2026-03-24
ORD1013,IT1013,S-404,P223,Books,599,50,549,Completed,Card,Warehouse,2026-03-22,2026-03-25
ORD1014,IT1014,S-505,P998,Beauty,1399,200,1199,Completed,UPI,Marketplace,2026-03-23,2026-03-26
ORD1015,IT1015,S-101,P506,Electronics,3499,500,2999,Completed,Card,Warehouse,2026-03-24,2026-03-27
ORD1016,IT1016,S-205,P882,Home,1899,200,1699,Completed,COD,Marketplace,2026-03-25,2026-03-28
ORD1017,IT1017,S-202,P779,Fashion,1199,100,1099,Completed,UPI,Seller,2026-03-26,2026-03-29
ORD1018,IT1018,S-303,P335,Toys,999,100,899,Completed,Card,Marketplace,2026-03-27,2026-03-30
ORD1019,IT1019,S-404,P224,Books,699,50,649,Completed,UPI,Warehouse,2026-03-28,2026-03-31
ORD1020,IT1020,S-505,P997,Beauty,1499,200,1299,Completed,Card,Marketplace,2026-03-29,2026-04-01
ORD1021,IT1021,S-101,P507,Electronics,2799,300,2499,Completed,Card,Warehouse,2026-03-30,2026-04-02
ORD1022,IT1022,S-205,P883,Home,1999,200,1799,Completed,COD,Marketplace,2026-03-31,2026-04-03
ORD1023,IT1023,S-202,P780,Fashion,1299,100,1199,Completed,UPI,Seller,2026-04-01,2026-04-04
ORD1024,IT1024,S-303,P336,Toys,1099,100,999,Completed,Card,Marketplace,2026-04-02,2026-04-05
ORD1025,IT1025,S-404,P225,Books,799,50,749,Completed,UPI,Warehouse,2026-04-03,2026-04-06
ORD1026,IT1026,S-505,P996,Beauty,1599,200,1399,Completed,Card,Marketplace,2026-04-04,2026-04-07
ORD1027,IT1027,S-101,P508,Electronics,2999,400,2599,Completed,Card,Warehouse,2026-04-05,2026-04-08
ORD1028,IT1028,S-205,P884,Home,2099,200,1899,Completed,COD,Marketplace,2026-04-06,2026-04-09
ORD1029,IT1029,S-202,P781,Fashion,1399,100,1299,Completed,UPI,Seller,2026-04-07,2026-04-10
ORD1030,IT1030,S-303,P337,Toys,1199,100,1099,Completed,Card,Marketplace,2026-04-08,2026-04-11
