return_id,order_id,order_item_id,seller_id,return_reason,refund_amount,return_status,pickup_status,return_date,source_system,snapshot_ts
RET9001,ORD1001,IT1001,S-101,Damaged item,2199,Approved,Completed,2026-03-18,MarketA,2026-03-19 02:10:00
RET9002,ORD1002,IT1002,S-205,Late Delivery,1499,Approved,Completed,2026-03-20,MarketA,2026-03-20 03:00:00
RET9003,ORD1003,IT1003,S-101,Defective,1799,Approved,Completed,2026-03-21,MarketA,2026-03-21 02:00:00
RET9004,ORD1004,IT1004,S-202,Wrong item,899,Approved,Completed,2026-03-22,MarketB,2026-03-22 02:00:00
RET9005,ORD1005,IT1005,S-303,Damaged,749,Approved,Completed,2026-03-23,MarketB,2026-03-23 02:00:00
RET9006,ORD1006,IT1006,S-101,Late Delivery,2499,Approved,Completed,2026-03-24,MarketA,2026-03-24 02:00:00
RET9007,ORD1007,IT1007,S-205,Damaged item,1599,Approved,Completed,2026-03-25,MarketA,2026-03-25 02:00:00
RET9008,ORD1008,IT1008,S-404,Defective,449,Approved,Completed,2026-03-26,MarketB,2026-03-26 02:00:00
RET9009,ORD1009,IT1009,S-505,Wrong item,1149,Approved,Completed,2026-03-27,MarketA,2026-03-27 02:00:00
RET9010,ORD1010,IT1010,S-101,Damaged,2299,Approved,Completed,2026-03-28,MarketA,2026-03-28 02:00:00
RET9011,ORD1011,IT1011,S-202,Late Delivery,999,Approved,Completed,2026-03-29,MarketB,2026-03-29 02:00:00
RET9012,ORD1012,IT1012,S-303,Defective,799,Approved,Completed,2026-03-30,MarketB,2026-03-30 02:00:00
RET9013,ORD1013,IT1013,S-404,Damaged item,549,Approved,Completed,2026-03-31,MarketA,2026-03-31 02:00:00
RET9014,ORD1014,IT1014,S-505,Wrong item,1199,Approved,Completed,2026-04-01,MarketA,2026-04-01 02:00:00
RET9015,ORD1015,IT1015,S-101,Damaged,2999,Approved,Completed,2026-04-02,MarketA,2026-04-02 02:00:00
RET9016,ORD1016,IT1016,S-205,Late Delivery,1699,Approved,Completed,2026-04-03,MarketA,2026-04-03 02:00:00
RET9017,ORD1017,IT1017,S-202,Defective,1099,Approved,Completed,2026-04-04,MarketB,2026-04-04 02:00:00
RET9018,ORD1018,IT1018,S-303,Damaged item,899,Approved,Completed,2026-04-05,MarketB,2026-04-05 02:00:00
RET9019,ORD1019,IT1019,S-404,Wrong item,649,Approved,Completed,2026-04-06,MarketA,2026-04-06 02:00:00
RET9020,ORD1020,IT1020,S-505,Damaged,1299,Approved,Completed,2026-04-07,MarketA,2026-04-07 02:00:00
RET9021,ORD1021,IT1021,S-101,Late Delivery,2499,Approved,Completed,2026-04-08,MarketA,2026-04-08 02:00:00
RET9022,ORD1022,IT1022,S-205,Defective,1799,Approved,Completed,2026-04-09,MarketA,2026-04-09 02:00:00
RET9023,ORD1023,IT1023,S-202,Damaged item,1199,Approved,Completed,2026-04-10,MarketB,2026-04-10 02:00:00
RET9024,ORD1024,IT1024,S-303,Wrong item,999,Approved,Completed,2026-04-11,MarketB,2026-04-11 02:00:00
RET9025,ORD1025,IT1025,S-404,Damaged,749,Approved,Completed,2026-04-12,MarketA,2026-04-12 02:00:00
RET9026,ORD1026,IT1026,S-505,Late Delivery,1399,Approved,Completed,2026-04-13,MarketA,2026-04-13 02:00:00
RET9027,ORD1027,IT1027,S-101,Defective,2599,Approved,Completed,2026-04-14,MarketA,2026-04-14 02:00:00
RET9028,ORD1028,IT1028,S-205,Damaged item,1899,Approved,Completed,2026-04-15,MarketA,2026-04-15 02:00:00
RET9029,ORD1029,IT1029,S-202,Wrong item,1299,Approved,Completed,2026-04-16,MarketB,2026-04-16 02:00:00
RET9030,ORD1030,IT1030,S-303,Damaged,1099,Approved,Completed,2026-04-17,MarketB,2026-04-17 02:00:00
